order_id,product_name,pieces_sold,price_per_item,order_date,shop_id
1,Coffee - Frthy Coffee Crisp,69,9182.36,2020-06-05,shop_1
2,Muffin Mix - Chocolate Chip,52,3589.28,2021-01-02,shop_3
3,Remy Red Berry Infusion,1,962.88,2020-12-07,shop_2
4,Kellogs Cereal In A Cup,34,1294.57,2020-04-22,shop_3
5,Petite Baguette,96,9693.23,2020-07-28,shop_2
6,Dawn Professionl Pot And Pan,13,8291.49,2020-08-14,shop_1
7,Bar Bran Honey Nut,69,1479.02,2020-06-02,shop_4
8,Ecolab - Balanced Fusion,51,6169.77,2020-09-19,shop_3
9,Tea - Apple Green Tea,19,5702.8,2020-05-08,shop_1
10,Bread - Olive,24,3652.05,2020-11-16,shop_1
11,Island Oasis - Lemonade,70,8767.71,2020-09-09,shop_4
12,Pastry - Cheese Baked Scones,28,1303.3,2020-04-01,shop_2
13,Onions - Cippolini,70,1555.18,2020-10-12,shop_2
14,"Pepper - Green, Chili",27,1362.7,2020-02-03,shop_3
15,Straw - Regular,93,8181.0,2020-06-08,shop_1
16,Mahi Mahi,29,6701.16,2020-02-17,shop_1
17,Dip - Tapenade,27,4014.28,2020-10-06,shop_4
18,Cucumber - English,48,8390.61,2020-11-08,shop_4
19,"Crush - Grape, 355 Ml",70,6329.0,2020-04-21,shop_2
20,Tea - Apple Green Tea,10,4900.26,2020-08-27,shop_1
21,"Wine - White, Antinore Orvieto",,5053.21,2020-03-22,shop_4
22,Muffin Puck Ww Carrot,,4066.12,2020-06-17,shop_1
23,Container Clear 8 Oz,92,9853.22,2020-04-24,shop_3
24,V8 - Vegetable Cocktail,17,6860.32,2020-11-26,shop_3
25,Wine - Casillero Deldiablo,73,9701.67,2020-05-27,shop_2
26,Oil - Coconut,11,8320.93,2020-06-15,shop_3
27,Pasta - Ravioli,83,6288.11,2020-07-14,shop_3
28,Veal - Leg,71,5747.28,2021-01-08,shop_4
29,"Napkin - Beverge, White 2 - Ply",77,623.83,2020-09-17,shop_1
30,"Ham - Smoked, Bone - In",75,8101.43,2020-02-10,shop_1
31,Taro Leaves,70,6.6,2020-11-13,shop_4
32,Pants Custom Dry Clean,15,870.74,2020-02-07,shop_3
33,Crackers Cheez It,26,6720.6,2020-02-16,shop_1
34,Oil - Margarine,23,728.77,2020-04-13,shop_3
35,Bar - Sweet And Salty Chocolate,56,8169.21,2020-04-06,shop_1
36,"Soda Water - Club Soda, 355 Ml",97,6988.11,2020-02-12,shop_2
37,Sausage - Meat,33,1608.33,2020-07-18,shop_4
38,"Pepper - White, Whole",97,5729.07,2020-04-23,shop_3
39,Muffin - Blueberry Individual,27,3208.13,2020-07-23,shop_1
40,"Wine - Red, Cabernet Merlot",98,3701.17,2020-12-02,shop_1
41,Vinegar - Champagne,26,5764.1,2020-04-18,shop_1
42,Wine - Pinot Noir Stoneleigh,12,5782.07,2020-07-09,shop_2
43,"Ham - Smoked, Bone - In",28,2985.79,2020-06-16,shop_4
44,"Turnip - White, Organic",44,8182.11,2020-06-09,shop_1
45,Pail With Metal Handle 16l White,83,1408.15,2020-11-08,shop_4
46,Eggroll,17,8385.03,2020-10-09,shop_1
47,"Tendrils - Baby Pea, Organic",92,8662.26,2020-06-02,shop_2
48,Wine - Sogrape Mateus Rose,68,6202.88,2020-11-25,shop_4
49,Flower - Leather Leaf Fern,12,5895.75,2020-12-22,shop_4
50,Coffee - Egg Nog Capuccino,,1060.7,2020-08-13,shop_4
51,Extract - Lemon,34,6391.44,2020-07-31,shop_4
52,Hot Choc Vending,38,2284.74,2020-03-13,shop_4
53,Mushroom - Morel Frozen,85,8671.71,2020-07-18,shop_4
54,Pineapple - Golden,7,2187.11,2020-02-23,shop_3
55,Barley - Pearl,98,9675.73,2020-12-07,shop_3
56,Tarts Assorted,4,9813.82,2020-10-27,shop_1
57,Pie Shell - 9,99,1251.95,2020-10-29,shop_4
58,Southern Comfort,100,235.62,2020-10-20,shop_1
